wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,match_alg_name,params_1,default
0.2,0.25,0,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,173,FALSE
0.2,0.25,0,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,174,FALSE
0.2,0.25,0,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,175,FALSE
0.2,0.25,0,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,176,FALSE
0.2,0.25,0,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,177,FALSE
0.2,0.25,0.05,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,178,FALSE
0.2,0.25,0.05,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,179,FALSE
0.2,0.25,0.05,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,180,FALSE
0.2,0.25,0.05,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,181,FALSE
0.2,0.25,0.05,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,182,FALSE
0.2,0.25,0.1,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,183,FALSE
0.2,0.25,0.1,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,184,FALSE
0.2,0.25,0.1,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,185,FALSE
0.2,0.25,0.1,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,186,FALSE
0.2,0.25,0.15,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,187,FALSE
0.2,0.25,0.15,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,188,FALSE
0.2,0.25,0.15,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,189,FALSE
0.2,0.25,0.2,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,190,FALSE
0.2,0.25,0.2,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,191,FALSE
0.2,0.25,0.25,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,192,FALSE
0.2,0.3,0,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,193,FALSE
0.2,0.3,0,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,PRE_ABO_CAS,194,FALSE
