mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,abo_weight,height_weight,cost_weight,distance_weight,method
tx_ppy,105.0909750752138,6.96958416286645,0.8899039702750957,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,92.8705755266861,7.934064534686995,1.293065597778326,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,209.3043048156153,12.13359915300284,0.9383982755302857,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,115.08378082600512,13.979251920177424,1.4000159445907516,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.001767757581144,1.2042831827345146,1.32961798184776,hgt_cat,"(62.2,65]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1265.0723997034197,39.784907554122285,-0.5241846108873373,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,852.7870482754456,35.447482191941695,0.79754151618926,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,100.33363062927332,11.199873264872242,0.39435527872053727,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,13.46226531177732,2.02424021145102,1.286120334999321,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,116.72827212083624,10.471816144884396,1.7043764578198957,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,83.81262885459863,7.0800520406189085,0.9798566878980184,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,208.03459641752193,15.67012389827858,1.225661736118622,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,99.516041813212,12.082494651375807,1.002009347734912,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,10.288902332308224,1.399745853062928,1.3226793034611504,hgt_cat,"(65,67]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1859.961504584683,53.162342130840315,1.0330589147612317,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,1346.3436371409994,46.26836268024652,1.3666028721968118,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,146.45307040922086,16.760658545519988,1.1488420579930347,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,15.105217931873394,1.7389031746263457,1.243735669441415,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,135.28238122298745,10.670613006638384,1.5779663907420611,hgt_cat,"(67,70]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
