wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.2,0.2,0,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,146,PRE_ABO_CAS
0.2,0.2,0,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,147,PRE_ABO_CAS
0.2,0.2,0,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,148,PRE_ABO_CAS
0.2,0.2,0,0.25,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,149,PRE_ABO_CAS
0.2,0.2,0,0.3,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,150,PRE_ABO_CAS
0.2,0.2,0.05,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,151,PRE_ABO_CAS
0.2,0.2,0.05,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,152,PRE_ABO_CAS
0.2,0.2,0.05,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,153,PRE_ABO_CAS
0.2,0.2,0.05,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,154,PRE_ABO_CAS
0.2,0.2,0.05,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,155,PRE_ABO_CAS
0.2,0.2,0.05,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,156,PRE_ABO_CAS
0.2,0.2,0.1,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,157,PRE_ABO_CAS
0.2,0.2,0.1,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,158,PRE_ABO_CAS
0.2,0.2,0.1,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,159,PRE_ABO_CAS
0.2,0.2,0.1,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,160,PRE_ABO_CAS
0.2,0.2,0.1,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,161,PRE_ABO_CAS
